year,ahe,bachelor,female,age
1998,10.3418808,1,0,28
1998,9.615385056,0,1,33
1998,9.575922966,1,0,29
1998,4.516994476,1,1,29
1998,12.5,0,0,31
1998,8.17307663,0,0,26
1998,6.490384579,0,0,28
1998,12.01923084,0,0,27
1998,11.36538506,0,0,29
1998,9.42307663,1,1,25
1998,10.29526043,1,1,26
1998,15.38461494,0,0,34
1998,18.93509674,1,0,32
1998,7.692307472,1,1,30
1998,9.134614944,0,0,33
1998,12.5,0,0,32
1998,23.07692337,0,0,33
1998,11.87084484,1,0,30
1998,38.46154022,1,0,34
1998,9.615385056,1,1,27
1998,12.54901981,0,0,32
1998,7,0,1,29
1998,6.944444656,0,1,34
1998,17.54807663,0,0,27
1998,16.82692337,0,0,30
1998,17.64422989,0,0,30
1998,19.71153831,1,1,30
1998,9.615385056,0,1,26
1998,10.82259655,0,1,32
1998,15.41442299,0,0,31
1998,10.65088749,1,0,31
1998,4.807692528,0,1,27
1998,17.58241844,1,0,27
1998,13.24786282,1,1,27
1998,12.82051277,1,1,31
1998,7.163461685,0,1,29
1998,7.211538315,0,1,26
1998,18.26922989,0,0,33
1998,9.615385056,0,0,30
1998,18.26922989,0,1,33
1998,28.84615326,1,0,27
1998,12.01923084,0,0,25
1998,9.615385056,0,1,34
1998,4.326922894,0,0,29
1998,27.77777863,1,0,28
1998,4.807692528,1,1,28
1998,13.46153831,0,0,31
1998,21.53846169,1,0,26
1998,12.01923084,0,0,29
1998,13.70192337,0,0,25
1998,9.615385056,0,1,34
1998,14.42307663,0,0,30
1998,14.90384579,1,1,33
1998,4.9145298,0,1,33
1998,7.518796921,0,1,26
1998,11.05769253,1,1,25
1998,9.065934181,0,0,26
1998,7.692307472,0,1,31
1998,11.21794891,0,1,33
1998,17.77777863,0,0,33
1998,27.2133522,1,1,28
1998,14.90384579,1,0,30
1998,18.46153831,1,1,30
1998,5.769230843,1,1,26
1998,11.18067932,1,0,34
1998,11,0,0,28
1998,11.2293272,0,0,27
1998,12.01923084,0,1,28
1998,20.83333397,0,0,30
1998,13.56837654,1,0,30
1998,42.73504257,1,1,33
1998,7.384615421,0,0,31
1998,8.653845787,0,0,30
1998,8.653845787,0,1,26
1998,11.05769253,1,0,27
1998,22.59615326,0,0,32
1998,10.28622532,0,0,31
1998,12.01923084,0,0,34
1998,21.15384674,1,1,34
1998,23.07692337,1,1,25
1998,15.38461494,1,0,26
1998,13.24786282,1,0,29
1998,8.547008514,1,0,30
1998,19.23077011,0,0,30
1998,15.38461494,1,0,30
1998,15.86538506,1,1,30
1998,13.46153831,1,1,34
1998,14.9572649,0,0,32
1998,23.07692337,1,1,31
1998,6.923077106,0,1,28
1998,10.09615421,1,1,32
1998,15.22435856,1,0,32
1998,9.467455864,0,0,28
1998,16.37044525,1,0,33
1998,25,1,0,28
1998,7.211538315,0,0,26
1998,16.23931694,1,0,27
1998,14.59477997,0,0,33
1998,26.7857151,0,0,32
1998,17.1875,0,0,26
1998,5.944056034,0,1,30
1998,16.49572563,1,0,34
1998,6.25,0,0,29
1998,13.70192337,0,1,33
1998,8.653845787,0,0,32
1998,5,0,1,26
1998,5.769230843,0,0,29
1998,11.05769253,0,1,26
1998,11.17788506,1,0,29
1998,3.461538553,0,0,31
1998,24.4755249,1,0,32
1998,7.692307472,1,0,34
1998,17.13461494,0,0,30
1998,11.88811207,1,0,31
1998,11.53846169,0,1,29
1998,9.134614944,0,0,30
1998,11.53846169,1,0,30
1998,14.9572649,1,1,32
1998,10.31372547,0,0,26
1998,12.5,0,1,34
1998,18.77289391,0,0,34
1998,9.5,1,0,31
1998,22.11538506,0,0,33
1998,15.38461494,1,1,32
1998,7.692307472,0,1,33
1998,10.68376064,1,0,27
1998,8.653845787,0,0,31
1998,6.730769157,0,1,30
1998,10.66666698,1,1,28
1998,9.982254028,1,1,30
1998,23.07692337,1,1,27
1998,12.45192337,0,0,27
